name,region,country,lat,lon,tz_id,condition,temp_c,temp_f,is_day,wind_mph,pressure_mb,precip_mm,humidity,cloud,feelslike_c,feelslike_f,localtime,last_updated,name_normalized
Recife,Pernambuco,Brazil,-8.05,-34.88,America/Recife,Partly cloudy,30.0,86.0,1.0,9.4,1013.0,0.01,62.0,50.0,33.0,91.3,2023-11-16 10:49:00,2023-11-16 10:45:00,Recife
São José dos Campos,Sao Paulo,Brazil,-23.19,-45.88,America/Sao_Paulo,Sunny,28.0,82.4,1.0,3.8,1012.0,0.0,62.0,0.0,26.4,79.5,2023-11-16 10:49:00,2023-11-16 10:45:00,Sao Jose dos Campos
São Paulo,Sao Paulo,Brazil,-23.53,-46.64,America/Sao_Paulo,Sunny,28.0,82.4,1.0,6.9,1011.0,0.0,55.0,0.0,26.6,79.9,2023-11-16 10:49:00,2023-11-16 10:45:00,Sao Paulo
Caçapava,Sao Paulo,Brazil,-23.1,-45.71,America/Sao_Paulo,Sunny,28.0,82.4,1.0,3.8,1012.0,0.0,62.0,0.0,27.6,81.8,2023-11-16 10:49:00,2023-11-16 10:45:00,Cacapava
Igaratá,Sao Paulo,Brazil,-23.21,-46.15,America/Sao_Paulo,Sunny,28.0,82.4,1.0,3.8,1012.0,0.0,62.0,0.0,27.7,81.9,2023-11-16 10:49:00,2023-11-16 10:45:00,Igarata
Jacareí,Sao Paulo,Brazil,-23.3,-45.97,America/Sao_Paulo,Sunny,28.0,82.4,1.0,3.8,1012.0,0.0,62.0,0.0,27.7,81.9,2023-11-16 10:49:00,2023-11-16 10:45:00,Jacarei
Jambeiro,Sao Paulo,Brazil,-23.25,-45.69,America/Sao_Paulo,Sunny,28.0,82.4,1.0,3.8,1012.0,0.0,62.0,0.0,27.7,81.9,2023-11-16 10:49:00,2023-11-16 10:45:00,Jambeiro
Monteiro Lobato,Sao Paulo,Brazil,-22.95,-45.84,America/Sao_Paulo,Sunny,28.0,82.4,1.0,3.8,1012.0,0.0,62.0,0.0,27.6,81.7,2023-11-16 10:49:00,2023-11-16 10:45:00,Monteiro Lobato
Paraibuna,Sao Paulo,Brazil,-23.39,-45.66,America/Sao_Paulo,Sunny,28.0,82.4,1.0,3.8,1012.0,0.0,62.0,0.0,27.7,81.9,2023-11-16 10:49:00,2023-11-16 10:45:00,Paraibuna
Santa Branca,Sao Paulo,Brazil,-23.39,-45.89,America/Sao_Paulo,Sunny,28.0,82.4,1.0,3.8,1012.0,0.0,62.0,0.0,26.3,79.3,2023-11-16 10:49:00,2023-11-16 10:45:00,Santa Branca
Campos do Jordão,Sao Paulo,Brazil,-22.73,-45.58,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,28.4,83.0,2023-11-16 10:49:00,2023-11-16 10:45:00,Campos do Jordao
Lagoinha,Sao Paulo,Brazil,-23.08,-45.19,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,29.6,85.3,2023-11-16 10:49:00,2023-11-16 10:45:00,Lagoinha
Natividade da Serra,Sao Paulo,Brazil,-23.37,-45.45,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,30.4,86.8,2023-11-16 10:49:00,2023-11-16 10:45:00,Natividade da Serra
Pindamonhangaba,Sao Paulo,Brazil,-22.92,-45.46,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,28.4,83.0,2023-11-16 10:49:00,2023-11-16 10:45:00,Pindamonhangaba
Redenção da Serra,Sao Paulo,Brazil,-23.26,-45.54,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,29.8,85.6,2023-11-16 10:49:00,2023-11-16 10:45:00,Redencao da Serra
Santo Antônio do Pinhal,Sao Paulo,Brazil,-22.83,-45.66,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,28.4,83.0,2023-11-16 10:49:00,2023-11-16 10:45:00,Santo Antonio do Pinhal
São Bento do Sapucaí,Minas Gerais,Brazil,-22.68,-45.73,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,28.4,83.0,2023-11-16 10:49:00,2023-11-16 10:45:00,Sao Bento do Sapucai
São Luiz do Paraitinga,Sao Paulo,Brazil,-23.22,-45.31,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,29.6,85.3,2023-11-16 10:49:00,2023-11-16 10:45:00,Sao Luiz do Paraitinga
Taubaté,Sao Paulo,Brazil,-23.01,-45.56,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,29.8,85.7,2023-11-16 10:49:00,2023-11-16 10:45:00,Taubate
Tremembé,Sao Paulo,Brazil,-22.96,-45.55,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,28.4,83.1,2023-11-16 10:49:00,2023-11-16 10:45:00,Tremembe
Aparecida,Sao Paulo,Brazil,-22.85,-45.23,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.8,87.5,2023-11-16 10:49:00,2023-11-16 10:45:00,Aparecida
Cachoeira Paulista,Sao Paulo,Brazil,-22.67,-45.02,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.7,87.3,2023-11-16 10:49:00,2023-11-16 10:45:00,Cachoeira Paulista
Canas,Sao Paulo,Brazil,-22.7,-45.05,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.7,87.3,2023-11-16 10:49:00,2023-11-16 10:45:00,Canas
Cunha,Sao Paulo,Brazil,-23.07,-44.96,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.9,87.5,2023-11-16 10:49:00,2023-11-16 10:45:00,Cunha
Guaratinguetá,Sao Paulo,Brazil,-22.81,-45.19,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,29.4,84.9,2023-11-16 10:49:00,2023-11-16 10:45:00,Guaratingueta
Lorena,Sao Paulo,Brazil,-22.73,-45.12,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.9,87.6,2023-11-16 10:49:00,2023-11-16 10:45:00,Lorena
Piquete,Sao Paulo,Brazil,-22.61,-45.19,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.9,87.6,2023-11-16 10:49:00,2023-11-16 10:45:00,Piquete
Potim,Sao Paulo,Brazil,-22.83,-45.26,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.8,87.5,2023-11-16 10:49:00,2023-11-16 10:45:00,Potim
Roseira,Sao Paulo,Brazil,-22.89,-45.31,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.8,87.5,2023-11-16 10:49:00,2023-11-16 10:45:00,Roseira
Arapeí,Sao Paulo,Brazil,-22.67,-44.44,America/Sao_Paulo,Sunny,31.0,87.7,1.0,2.2,1009.0,0.0,39.0,4.0,31.3,88.3,2023-11-16 10:49:00,2023-11-16 10:45:00,Arapei
Areias,Rio de Janeiro,Brazil,-22.58,-44.7,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,31.0,87.7,2023-11-16 10:49:00,2023-11-16 10:45:00,Areias
Bananal,Rio de Janeiro,Brazil,-22.68,-44.33,America/Sao_Paulo,Sunny,37.4,99.4,1.0,2.2,1007.0,0.0,33.0,5.0,40.3,104.5,2023-11-16 10:49:00,2023-11-16 10:45:00,Bananal
Cruzeiro,Sao Paulo,Brazil,-22.57,-44.97,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.7,87.3,2023-11-16 10:49:00,2023-11-16 10:45:00,Cruzeiro
Lavrinhas,Sao Paulo,Brazil,-22.57,-44.9,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.7,87.3,2023-11-16 10:49:00,2023-11-16 10:45:00,Lavrinhas
Queluz,Sao Paulo,Brazil,-22.53,-44.78,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.7,87.3,2023-11-16 10:49:00,2023-11-16 10:45:00,Queluz
São José do Barreiro,Rio de Janeiro,Brazil,-22.64,-44.58,America/Sao_Paulo,Sunny,33.4,92.2,1.0,2.2,1009.0,0.0,37.0,4.0,34.5,94.1,2023-11-16 10:50:00,2023-11-16 10:45:00,Sao Jose do Barreiro
Silveiras,Sao Paulo,Brazil,-22.66,-44.85,America/Sao_Paulo,Sunny,31.0,87.8,1.0,3.8,1011.0,0.0,49.0,0.0,30.7,87.3,2023-11-16 10:50:00,2023-11-16 10:45:00,Silveiras
Caraguatatuba,Sao Paulo,Brazil,-23.61,-45.41,America/Sao_Paulo,Sunny,31.7,89.0,1.0,2.2,1008.0,0.0,43.0,4.0,32.8,91.1,2023-11-16 10:50:00,2023-11-16 10:45:00,Caraguatatuba
Ilhabela,Sao Paulo,Brazil,-23.78,-45.36,America/Sao_Paulo,Sunny,30.5,87.0,1.0,2.2,1007.0,0.0,55.0,5.0,33.2,91.8,2023-11-16 10:50:00,2023-11-16 10:45:00,Ilhabela
São Sebastião,Sao Paulo,Brazil,-23.8,-45.41,America/Sao_Paulo,Sunny,30.5,87.0,1.0,2.2,1007.0,0.0,55.0,5.0,33.2,91.8,2023-11-16 10:50:00,2023-11-16 10:45:00,Sao Sebastiao
Ubatuba,Sao Paulo,Brazil,-23.43,-45.08,America/Sao_Paulo,Sunny,30.0,86.0,1.0,4.3,1010.0,0.0,49.0,0.0,30.4,86.8,2023-11-16 10:50:00,2023-11-16 10:45:00,Ubatuba
